_year	_age	sex	prob
1959	34	1	.998522
1959	35	1	.998197
1959	36	1	.998403
1959	37	1	.998614
1959	38	1	.998332
1959	39	1	.998112
1959	40	1	.998107
1959	41	1	.998008
1959	42	1	.997622
1959	43	1	.997607
1959	44	1	.997155
1959	45	1	.996597
1959	46	1	.996229
1959	47	1	.996272
1959	48	1	.995611
1959	49	1	.994785
1959	50	1	.994855
1959	51	1	.994605
1959	52	1	.993627
1959	53	1	.992804
1959	54	1	.992467
1959	55	1	.991369
1959	56	1	.990593
1959	57	1	.989081
1959	58	1	.988601
1959	59	1	.987386
1959	60	1	.985739
1959	61	1	.985669
1959	62	1	.983798
1959	63	1	.982202
1959	64	1	.978596
1959	65	1	.976081
1959	66	1	.975076
1959	67	1	.97182
1959	68	1	.968364
1959	69	1	.964665
1959	70	1	.960636
1959	71	1	.954966
1959	72	1	.951157
1959	73	1	.947432
1959	74	1	.941173
1959	75	1	.936495
1959	76	1	.931328
1959	77	1	.916014
1959	78	1	.914226
1959	79	1	.90088
1959	80	1	.894239
1959	81	1	.87722
1959	82	1	.867786
1959	83	1	.85187
1959	84	1	.840136
1959	85	1	.819297
1959	86	1	.796412
1959	87	1	.779745
1959	88	1	.746671
1959	89	1	.731476
1959	90	1	.722129
1959	91	1	.663265
1959	92	1	.674099
1959	93	1	.663381
1959	94	1	.586087
1959	95	1	.539711
1959	96	1	.680115
1959	97	1	.313433
1959	98	1	.543726
1959	99	1	.089655
1959	100	1	.704918
1959	101	1	.4
1959	102	1	.052632
1959	103	1	.076923
1959	104	1	0
1959	105	1	0
1959	106	1	0
1959	107	1	0
1959	108	1	0
1959	109	1	0
1959	110	1	0
1959	0	2	.986098
1959	1	2	.998881
1959	2	2	.999202
1959	3	2	.999513
1959	4	2	.999627
1959	5	2	.999436
1959	6	2	.999676
1959	7	2	.99979
1959	8	2	.999683
1959	9	2	.999716
1959	10	2	.999713
1959	11	2	.99977
1959	12	2	.999791
1959	13	2	.999747
1959	14	2	.999858
1959	15	2	.999579
1959	16	2	.999618
1959	17	2	.999614
1959	18	2	.999539
1959	19	2	.999746
1959	20	2	.999681
1959	21	2	.999559
1959	22	2	.999479
1959	23	2	.999394
1959	24	2	.999523
1959	25	2	.999426
1959	26	2	.9993
1959	27	2	.999435
1959	28	2	.999425
1959	29	2	.999385
1959	30	2	.999285
1959	31	2	.999297
1959	32	2	.999284
1959	33	2	.999289
1959	34	2	.99923
1959	35	2	.999131
1959	36	2	.998846
1959	37	2	.998594
1959	38	2	.998688
1959	39	2	.998605
1959	40	2	.998403
1959	41	2	.998366
1959	42	2	.998139
1959	43	2	.99784
1959	44	2	.997524
1959	45	2	.997925
1959	46	2	.997546
1959	47	2	.997518
1959	48	2	.996943
1959	49	2	.996642
1959	50	2	.995986
1959	51	2	.996189
1959	52	2	.995688
1959	53	2	.995477
1959	54	2	.994589
1959	55	2	.994525
1959	56	2	.993412
1959	57	2	.993035
1959	58	2	.99255
1959	59	2	.991888
